NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =   757 =  73.93% , Elapsed time = 170499.80 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =   533 =  52.05% , Elapsed time =    186.31 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =   315 =  30.76% , Elapsed time =    177.62 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =   432 =  42.19% , Elapsed time =    154.40 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =   359 =  35.06% , Elapsed time =    194.70 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   318 =  31.05% , Elapsed time =    115.79 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =     0 =   0.00% , Elapsed time =    176.70 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   325 =  31.74% , Elapsed time =     91.88 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   352 =  34.38% , Elapsed time =    226.73 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   412 =  40.23% , Elapsed time =    208.80 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   154 =  15.04% , Elapsed time =    126.59 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   337 =  32.91% , Elapsed time =    121.17 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   389 =  37.99% , Elapsed time =    105.94 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   970 =  94.73% , Elapsed time = 233649.70 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   237 =  23.14% , Elapsed time =    163.24 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =  1023 =  49.95% , Elapsed time =    304.55 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    361.24 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =   582 =  28.42% , Elapsed time =    173.45 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =   617 =  30.13% , Elapsed time =    162.31 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =   247 =  12.06% , Elapsed time =    132.22 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   660 =  32.23% , Elapsed time =    255.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   626 =  30.57% , Elapsed time =    179.98 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   798 =  38.96% , Elapsed time = 169778.30 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   625 =  30.52% , Elapsed time =    255.30 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   515 =  25.15% , Elapsed time =    217.96 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   682 =  33.30% , Elapsed time =    164.52 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   628 =  30.66% , Elapsed time =    156.22 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1541 =  75.24% , Elapsed time = 308795.17 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   587 =  28.66% , Elapsed time =    550.26 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   696 =  33.98% , Elapsed time =    173.69 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =  1798 =  43.90% , Elapsed time =    555.66 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =   710 =  17.33% , Elapsed time =    201.82 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =   827 =  20.19% , Elapsed time =    234.19 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =  2164 =  52.83% , Elapsed time =    461.80 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =  3687 =  90.01% , Elapsed time = 842970.06 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1232 =  30.08% , Elapsed time =    282.52 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  2968 =  72.46% , Elapsed time = 514328.22 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1346 =  32.86% , Elapsed time =    250.56 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1412 =  34.47% , Elapsed time =    266.56 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1214 =  29.64% , Elapsed time =    520.18 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =   628 =  15.33% , Elapsed time =  70311.67 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1159 =  28.30% , Elapsed time =    246.22 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1141 =  27.86% , Elapsed time =    294.26 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  2263 =  55.25% , Elapsed time =    490.06 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1376 =  33.59% , Elapsed time =    252.88 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =  4062 =  49.58% , Elapsed time =    998.68 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =  2993 =  36.54% , Elapsed time =    748.26 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =  3020 =  36.87% , Elapsed time =   1005.85 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =  2343 =  28.60% , Elapsed time =    699.39 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =  7152 =  87.30% , Elapsed time = 1549626.40 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4241 =  51.77% , Elapsed time =    907.91 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  1354 =  16.53% , Elapsed time =  38216.89 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3433 =  41.91% , Elapsed time =    806.65 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2674 =  32.64% , Elapsed time =    737.93 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2713 =  33.12% , Elapsed time =    433.22 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2600 =  31.74% , Elapsed time =    420.82 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2732 =  33.35% , Elapsed time =    432.98 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2636 =  32.18% , Elapsed time =    435.63 microseconds
