NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    547.44 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    360.92 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    253.85 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    337.35 microseconds
NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    384.09 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   298 =  29.10% , Elapsed time =    183.56 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   276 =  26.95% , Elapsed time =    160.35 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   357 =  34.86% , Elapsed time =    128.08 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   342 =  33.40% , Elapsed time =    183.48 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   247 =  24.12% , Elapsed time =    139.15 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   273 =  26.66% , Elapsed time =    165.50 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   328 =  32.03% , Elapsed time =     98.89 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   287 =  28.03% , Elapsed time =    192.82 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   542 =  52.93% , Elapsed time =    131.10 microseconds
NUMN =   1024 , USE_MUTEX = false , NumPopErrors =   271 =  26.46% , Elapsed time =    119.32 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    831.41 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    600.46 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    585.31 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    663.54 microseconds
NUMN =   2048 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1088.00 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1047 =  51.12% , Elapsed time =    248.99 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   697 =  34.03% , Elapsed time =    168.28 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   519 =  25.34% , Elapsed time =    203.34 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1068 =  52.15% , Elapsed time =    265.39 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   617 =  30.13% , Elapsed time =    124.17 microseconds
